Head,RightShoulder,RightArm,RightForeArm,RightHand,LeftShoulder,LeftArm,LeftForeArm,LeftHand,Hip,RightUpLeg,RightLeg,RightFoot,LeftUpLeg,LeftLeg,LeftFoot
31.10381,21.2679,65.91379,84.93378,32.42427,14.03209,57.00841,87.59827,24.71671,10.87638,23.75427,40.33404,23.9008,18.05113,118.852,23.20223
30.23844,20.72461,66.08658,86.97407,32.55928,12.82632,57.58565,89.14472,25.07553,10.1954,24.71113,39.83344,24.66371,22.81003,118.4472,27.53928
29.24302,20.17609,66.47201,89.5113,32.88299,12.69745,57.82904,90.59616,25.17398,10.0708,25.00735,39.74478,25.4437,28.46125,118.1991,25.21025
28.08829,19.58543,66.86977,91.44163,33.2532,12.53414,57.96037,92.35844,25.34186,10.43,23.97418,39.13396,25.66885,34.16795,117.4838,21.98149
28.72085,20.57125,68.44234,95.30381,33.77081,17.94086,58.44746,96.12734,25.56358,12.05155,20.89807,36.37295,23.39123,43.63359,115.9151,4.068456
29.01751,21.23008,69.27855,97.0237,33.92134,19.49746,58.41948,97.40504,25.9898,12.83788,19.63128,34.45183,20.79255,47.92309,114.469,6.781111
29.1775,21.90222,69.58832,98.69808,33.96261,21.04597,58.31612,98.74186,26.5416,13.38058,17.93131,32.42305,16.94459,51.8595,111.949,9.201068
22.02874,16.45152,69.42661,100.3298,33.92761,13.86038,58.11284,100.7292,26.63356,13.58937,15.86176,30.14854,12.41286,54.46346,107.7654,11.04623
20.81747,15.69106,68.87881,101.8215,33.83263,13.64801,57.95069,102.6458,26.871,13.65014,13.82694,28.63958,8.408893,56.67389,103.3903,12.88453
20.76425,15.82652,68.31469,103.1536,33.72052,14.78749,57.77803,105.5605,26.51651,13.87266,12.15786,26.76679,5.072878,58.28539,98.37989,14.62547
18.03897,13.81218,68.09152,105.0371,33.62627,12.72669,56.93591,109.2774,27.26356,14.30188,9.61981,25.27295,14.58152,60.32439,87.7907,17.98675
17.23643,13.19783,67.96167,105.5826,33.60331,12.39054,56.25594,110.9715,27.52912,14.65908,9.547859,24.91886,23.27619,60.61423,81.95203,19.66255
16.65036,12.83641,67.6556,105.8532,33.33412,12.52726,55.56253,112.3666,27.50855,15.08665,9.409474,24.91674,32.01393,60.23069,77.03333,22.55628
15.83877,12.34381,66.96258,105.9243,33.09596,12.41255,54.82342,113.4646,27.58807,15.61024,9.170276,25.90604,38.45569,59.82566,70.96859,24.13329
15.2205,12.09533,66.40335,105.7237,32.75201,12.41393,54.24927,114.2566,27.6676,16.04867,8.914055,28.28033,41.26431,58.89273,66.00216,26.8127
